Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Log Loss,Training_Time
Decision Tree,0.6545454545454545,0.7099468488990129,0.7121096725057121,0.7110266159695817,0.6407222545166666,12.451443898058653,0.0759282112121582
Logistic Regression,0.6359090909090909,0.7098360655737705,0.6595582635186595,0.6837741808132649,0.7190732515277372,0.5464288874538366,0.02558159828186035
XGBoost,0.6445454545454545,0.7335092348284961,0.6351865955826352,0.6808163265306122,0.7283594546255423,0.5605868348024309,0.10423660278320312
K-Nearest Neighbors,0.6309090909090909,0.7082294264339152,0.6488956587966489,0.6772655007949125,0.7014711097334693,1.4968407188153565,1.4490118026733398
Random Forest,0.6495454545454545,0.7571157495256167,0.6077684691546078,0.6742712294043093,0.7295984736796461,0.5219715820389853,1.0236129760742188
LightGBM,0.6572727272727272,0.7843336724313327,0.5872048743335873,0.671602787456446,0.7367127442082513,0.5153577599690323,0.08635091781616211
SVM,0.6586363636363637,0.8081140350877193,0.5613099771515613,0.6624719101123595,0.7337156575773786,0.5537470801197427,10.209292650222778
Gradient Boosting,0.6740909090909091,0.8791348600508906,0.5262757044935262,0.6584087660790853,0.7501848224888399,0.5046395940746788,1.2685983180999756
AdaBoost,0.6786363636363636,0.9690402476780186,0.4767707539984768,0.6391015824400205,0.749489752548232,0.5553479872916076,0.6785039901733398
Naive Bayes,0.6409090909090909,0.9532062391681109,0.4188880426504189,0.582010582010582,0.7303446327635106,1.1240253274090344,0.02215886116027832
